,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
193,HK_FUTURE.999010,2018-10-15 00:00:00,25676.0,25343.0,25777.0,25330.0,0.0,0.0,233336,5932863435.0,-1.3507201245620863,25690.0
194,HK_FUTURE.999010,2018-10-16 00:00:00,25340.0,25387.0,25680.0,25208.0,0.0,0.0,258268,6523007853.0,0.1736179615672967,25343.0
195,HK_FUTURE.999010,2018-10-18 00:00:00,25380.0,25407.0,25775.0,25211.0,0.0,0.0,251213,6350916754.0,0.07878047819750267,25387.0
196,HK_FUTURE.999010,2018-10-19 00:00:00,25402.0,25457.0,25723.0,25046.0,0.0,0.0,312860,7926100685.0,0.19679615853898533,25407.0
197,HK_FUTURE.999010,2018-10-22 00:00:00,25474.0,26132.0,26222.0,25382.0,0.0,0.0,298404,7676156018.0,2.651530031032722,25457.0
198,HK_FUTURE.999010,2018-10-23 00:00:00,26134.0,25336.0,26163.0,25266.0,0.0,0.0,316388,8086629401.0,-3.0460737792744528,26132.0
199,HK_FUTURE.999010,2018-10-24 00:00:00,25305.0,25212.0,25654.0,25050.0,0.0,0.0,375655,9468308144.0,-0.4894221660877802,25336.0
200,HK_FUTURE.999010,2018-10-25 00:00:00,25205.0,24896.0,25408.0,24601.0,0.0,0.0,338502,8126071547.0,-1.2533714104394733,25212.0
201,HK_FUTURE.999010,2018-10-26 00:00:00,24893.0,24657.0,25146.0,24526.0,0.0,0.0,342444,8007819164.0,-0.9599935732647814,24896.0
202,HK_FUTURE.999010,2018-10-29 00:00:00,24634.0,24765.0,24997.0,24457.0,0.0,0.0,275217,6647990169.0,0.43800949020562113,24657.0
203,HK_FUTURE.999010,2018-10-30 00:00:00,24771.0,24722.0,25041.0,24572.0,0.0,0.0,54546,1352176220.0,-0.17363214213607914,24765.0
204,HK_FUTURE.999010,2018-10-31 00:00:00,24578.0,24911.0,24961.0,24474.0,0.0,0.0,268862,6629788235.0,0.7645012539438557,24722.0
205,HK_FUTURE.999010,2018-11-01 00:00:00,24919.0,25342.0,25516.0,24858.0,0.0,0.0,262464,6590028016.0,1.730159367347758,24911.0
206,HK_FUTURE.999010,2018-11-02 00:00:00,25350.0,26493.0,26502.0,25323.0,0.0,0.0,330517,8479823874.0,4.541867255938758,25342.0
207,HK_FUTURE.999010,2018-11-05 00:00:00,26486.0,25897.0,26758.0,25720.0,0.0,0.0,300022,7756238332.0,-2.249650851168233,26493.0
208,HK_FUTURE.999010,2018-11-06 00:00:00,25886.0,26036.0,26166.0,25799.0,0.0,0.0,238349,6157159723.0,0.5367417075336911,25897.0
209,HK_FUTURE.999010,2018-11-07 00:00:00,26032.0,26161.0,26524.0,25861.0,0.0,0.0,299744,7804057499.0,0.48010447073283147,26036.0
210,HK_FUTURE.999010,2018-11-08 00:00:00,26164.0,26224.0,26614.0,26104.0,0.0,0.0,234765,6147912472.0,0.2408164825503612,26161.0
211,HK_FUTURE.999010,2018-11-09 00:00:00,26204.0,25462.0,26229.0,25407.0,0.0,0.0,234982,5999468950.0,-2.9057352043929225,26224.0
212,HK_FUTURE.999010,2018-11-12 00:00:00,25461.0,25551.0,25753.0,25312.0,0.0,0.0,232106,5907528576.0,0.3495404917131411,25462.0
213,HK_FUTURE.999010,2018-11-13 00:00:00,25546.0,25837.0,25859.0,25006.0,0.0,0.0,304766,7700723601.0,1.1193299675159485,25551.0
